Name,Availability,Ref,Discount,Image URL,Brand,Old Price,Price,product_url,Système d'exploitation,Mémoire,Garantie,Taille de l'écran,Type de Processeur,Disque Dur,Carte Graphique,Couleur,Store
LENOVO V15 IIL / i5 10è Gén / 12 Go 256Go SSD - Gris,En Stock,82C500T8FE-12,nan,https://www.technopro-online.com/91250-thickbox_default/lenovo-v15-iil-i5-10e-gen-12-go-256go-ssd-gris-82c500t8fe-12.jpg,LENOVO,nan,1899000,https://www.technopro-online.com/lenovo-v15-iil-i5-10e-gen-12-go-256go-ssd-gris-82c500t8fe-12.html,Free Dos,12 Go,1 an,"15.6""",Intel Core I5,256 Go SSD,,Gris,OXtek
PC Portable HP 15S-EQ2000NK / RYZEN 7 5700U / 16 GO / Blanc (455Z7EA-16),Sur commande 24H,455Z7EA-16,nan,https://www.technopro-online.com/82029-thickbox_default/pc-portable-hp-15s-eq2000nk-ryzen-7-5700u-16-go.jpg,HP,nan,1899000,https://www.technopro-online.com/pc-portable-hp-15s-eq2000nk-ryzen-7-5700u-16-go.html,Windows 10,16 Go,1 an,"15.6""",AMD Ryzen 7,512 Go SSD,,Blanc,OXtek
PC Portable LENOVO V15 G2 ITL i5 11è Gén 16Go 1To - Noir (82KB0016FE-16),Sur commande 24 h,82KB0016FE-16,nan,https://www.technopro-online.com/84671-thickbox_default/-pc-portable-lenovo-v15-g2-itl-i5-11e-gen-16go-1to-noir-82kb0016fe-16.jpg,LENOVO,nan,1905000,https://www.technopro-online.com/-pc-portable-lenovo-v15-g2-itl-i5-11e-gen-16go-1to-noir-82kb0016fe-16.html,Free Dos,16 Go,1 an,"15.6""",Intel Core I5,1 To,,Noir,OXtek
Pc Portable DELL Inspiron 15 3511 i5 11è Gén 24Go 512Go SSD - Silver,sur commande 24h,3511I5-3000-24,nan,https://www.technopro-online.com/94009-thickbox_default/pc-portable-dell-inspiron-15-3511-i5-11e-gen-24go-512go-ssd-silver.jpg,DELL,nan,1909000,https://www.technopro-online.com/pc-portable-dell-inspiron-15-3511-i5-11e-gen-24go-512go-ssd-silver.html,Free Dos,24 Go,1 an,"15.6""",Intel Core I5,512 Go SSD,,Silver,OXtek
Pc Portable ASUS VIVOBOOK FLIP 14 TM420 AMD RYZEN 7 8GO 512GO SSD - NOIR,Sur commande 24h,TM420UA-EC046,nan,https://www.technopro-online.com/96523-thickbox_default/pc-portable-asus-vivobook-flip-14-tm420-amd-ryzen-7-8go-512go-ssd-noir.jpg,ASUS,nan,1919000,https://www.technopro-online.com/pc-portable-asus-vivobook-flip-14-tm420-amd-ryzen-7-8go-512go-ssd-noir.html,Free Dos,8 Go,1 an,"14""",AMD Ryzen 7,512 Go SSD,AMD Radeon,,OXtek
Pc Portable HP 15-dw3013nk / i5-1135G7 / 16 Go /1To - Gris (2R0M5EA-16),En Stock,2R0M5EA-16,nan,https://www.technopro-online.com/79827-thickbox_default/pc-portable-hp-15-dw3013nk-i5-1135g7-16-go-1to-grey-2r0m5ea-16.jpg,HP,nan,1919000,https://www.technopro-online.com/pc-portable-hp-15-dw3013nk-i5-1135g7-16-go-1to-grey-2r0m5ea-16.html,Windows 10,16 Go,1 an,"15.6""",Intel Core I5,1 To,Graphique Intégrée,Gris,OXtek
Pc portable Asus ExpertBook B1500 i5 11è Gén 40Go 1To HDD,Sur commande 24H,B1500CEAE-BQ2848-40,nan,https://www.technopro-online.com/92651-thickbox_default/asus-expertbook-b1500-i5-40go-1to-hdd-tunisie.jpg,ASUS,nan,1929000,https://www.technopro-online.com/asus-expertbook-b1500-i5-40go-1to-hdd-tunisie.html,Free Dos,40 Go,2 ans,"15.6""",Intel Core I5,1 To,Graphique Intégrée,Bleu,OXtek
PC Portable HP i5 14s-dq5001nk blanc (6D6W0EA),Sur commande 48H,6D6W0EA,100000.0,https://www.technopro-online.com/82053-thickbox_default/-pc-portable-hp-14s-dq5001nk-blanc-6d6w0ea.jpg,HP,2039000.0,1939000,https://www.technopro-online.com/-pc-portable-hp-14s-dq5001nk-blanc-6d6w0ea.html,Windows 11,8 Go,1 an,"15.6""",Intel Core I5,256 Go SSD,,Blanc,OXtek
Pc Portable Asus VivoBook 16 - I7 11370H - 24 GO - WIN11 - SILVER,sur commande 24h,R1605PA-MB169W-24,nan,https://www.technopro-online.com/93649-thickbox_default/pc-portable-asus-vivobook-16-i7-11370h-24-go-win11-silver.jpg,ASUS,nan,1945000,https://www.technopro-online.com/pc-portable-asus-vivobook-16-i7-11370h-24-go-win11-silver.html,Windows 11,24 Go,1 an,"16""",Intel Core i7,512 Go SSD,Graphique Intégrée,,OXtek
Pc Portable HP 15-dw3014nk /i5-1135G7 - 16Go /1To - Noir,En Stock,2R0M6EA-16,nan,https://www.technopro-online.com/79833-thickbox_default/pc-portable-hp-15-dw3014nk-i5-1135g7-16go-1to-noir-2r0m6ea.jpg,HP,nan,1945000,https://www.technopro-online.com/pc-portable-hp-15-dw3014nk-i5-1135g7-16go-1to-noir-2r0m6ea.html,Windows 11,16 Go,1 an,"15.6""",Intel Core I5,1 To,Graphique Intégrée,Noir,OXtek
